Code,Sum of Quantity Shipped,TimePeriod
BACOP,0,2022-09-05 00:00:00
BACOP,512243,2022-09-07 00:00:00
BACOP,0,2022-09-09 00:00:00
BACOP,0,2022-09-11 00:00:00
BACOP,10740,2022-09-12 00:00:00
BACOP,0,2022-09-16 00:00:00
BACOP,0,2022-09-18 00:00:00
BACOP,6886,2022-09-19 00:00:00
BACOP,0,2022-09-23 00:00:00
BACOP,0,2022-09-25 00:00:00
BACOP,33680,2022-09-26 00:00:00
BACOP,0,2022-09-30 00:00:00
BACOP,0,2022-10-02 00:00:00
BACOP,856,2022-10-03 00:00:00
BACOP,0,2022-10-09 00:00:00
BACOP,50957,2022-10-10 00:00:00
BACOP,0,2022-10-14 00:00:00
BACOP,0,2022-10-15 00:00:00
BACOP,0,2022-10-16 00:00:00
BACOP,3666,2022-10-17 00:00:00
BACOP,0,2022-10-18 00:00:00
BACOP,0,2022-10-20 00:00:00
BACOP,0,2022-10-21 00:00:00
BACOP,0,2022-10-22 00:00:00
BACOP,0,2022-10-23 00:00:00
BACOP,0,2022-10-24 00:00:00
BACOP,0,2022-10-26 00:00:00
BACOP,0,2022-10-29 00:00:00
BACOP,0,2022-10-30 00:00:00
BACOP,4946,2022-10-31 00:00:00
BACOP,0,2022-11-01 00:00:00
BACOP,0,2022-11-06 00:00:00
BACOP,9211.9,2022-11-07 00:00:00
BACOP,0,2022-11-09 00:00:00
BACOP,0,2022-11-13 00:00:00
BACOP,115228.95,2022-11-14 00:00:00
BACOP,0,2022-11-15 00:00:00
BACOP,0,2022-11-19 00:00:00
BACOP,0,2022-11-20 00:00:00
BACOP,42612,2022-11-21 00:00:00
BACOP,0,2022-11-22 00:00:00
BACOP,0,2022-11-23 00:00:00
BACOP,0,2022-11-26 00:00:00
BACOP,0,2022-11-27 00:00:00
BACOP,74316,2022-11-28 00:00:00
BACOP,0,2022-11-30 00:00:00
BACOP,0,2022-12-03 00:00:00
BACOP,0,2022-12-04 00:00:00
BACOP,84318,2022-12-05 00:00:00
BACOP,0,2022-12-06 00:00:00
BACOP,0,2022-12-10 00:00:00
BACOP,0,2022-12-11 00:00:00
BACOP,39275,2022-12-12 00:00:00
BACOP,0,2022-12-13 00:00:00
BACOP,0,2022-12-17 00:00:00
BACOP,0,2022-12-18 00:00:00
BACOP,72107.1,2022-12-19 00:00:00
BACOP,0,2022-12-20 00:00:00
BACOP,0,2022-12-21 00:00:00
BACOP,0,2022-12-24 00:00:00
BACOP,44862,2022-12-25 00:00:00
BACOP,4272,2022-12-26 00:00:00
BACOP,0,2022-12-27 00:00:00
BACOP,0,2022-12-28 00:00:00
BACOP,0,2022-12-31 00:00:00
BACOP,0,2023-01-01 00:00:00
BACOP,68965,2023-01-02 00:00:00
BACOP,0,2023-01-03 00:00:00
BACOP,0,2023-01-04 00:00:00
BACOP,0,2023-01-05 00:00:00
BACOP,0,2023-01-06 00:00:00
BACOP,0,2023-01-07 00:00:00
BACOP,0,2023-01-08 00:00:00
BACOP,28842,2023-01-09 00:00:00
BACOP,0,2023-01-10 00:00:00
BACOP,0,2023-01-11 00:00:00
BACOP,0,2023-01-13 00:00:00
BACOP,0,2023-01-14 00:00:00
BACOP,0,2023-01-15 00:00:00
BACOP,4467.9,2023-01-16 00:00:00
BACOP,0,2023-01-17 00:00:00
BACOP,0,2023-01-18 00:00:00
BACOP,0,2023-01-20 00:00:00
BACOP,0,2023-01-21 00:00:00
BACOP,0,2023-01-22 00:00:00
BACOP,14805,2023-01-23 00:00:00
BACOP,0,2023-01-25 00:00:00
BACOP,0,2023-01-26 00:00:00
BACOP,41205,2023-01-27 00:00:00
BACOP,0,2023-01-29 00:00:00
BACOP,2806,2023-01-30 00:00:00
BACOP,55800,2023-01-31 00:00:00
BACOP,40981,2023-02-01 00:00:00
BACOP,54058,2023-02-03 00:00:00
BACOP,0,2023-02-04 00:00:00
BACOP,0,2023-02-05 00:00:00
BACOP,773833.5,2023-02-06 00:00:00
BACOP,25452,2023-02-08 00:00:00
BACOP,86715,2023-02-09 00:00:00
BACOP,26863,2023-02-10 00:00:00
BACOP,0,2023-02-11 00:00:00
BACOP,0,2023-02-12 00:00:00
BACOP,660852.5,2023-02-13 00:00:00
BACOP,164540,2023-02-15 00:00:00
BACOP,2260,2023-02-16 00:00:00
BACOP,68718,2023-02-17 00:00:00
BACOP,0,2023-02-18 00:00:00
BACOP,0,2023-02-19 00:00:00
BACOP,510954,2023-02-20 00:00:00
BACOP,228280,2023-02-22 00:00:00
BACOP,191227,2023-02-24 00:00:00
BACOP,0,2023-02-25 00:00:00
BACOP,0,2023-02-26 00:00:00
BACOP,581817.5,2023-02-27 00:00:00
BACOP,54008,2023-03-01 00:00:00
BACOP,0,2023-03-02 00:00:00
BACOP,95886.5,2023-03-03 00:00:00
BACOP,0,2023-03-04 00:00:00
BACOP,0,2023-03-05 00:00:00
BACOP,452075,2023-03-06 00:00:00
BACOP,0,2023-03-07 00:00:00
BACOP,40297,2023-03-08 00:00:00
BACOP,27427,2023-03-09 00:00:00
BACOP,21042,2023-03-10 00:00:00
BACOP,0,2023-03-11 00:00:00
BACOP,0,2023-03-12 00:00:00
BACOP,385153,2023-03-13 00:00:00
BACOP,24531,2023-03-15 00:00:00
BACOP,17145,2023-03-16 00:00:00
BACOP,72097,2023-03-17 00:00:00
BACOP,0,2023-03-18 00:00:00
BACOP,0,2023-03-19 00:00:00
BACOP,298476.5,2023-03-20 00:00:00
BACOP,0,2023-03-25 00:00:00
BACOP,0,2023-03-26 00:00:00
BACOP,214899,2023-03-27 00:00:00
BACOP,23323.5,2023-03-31 00:00:00
BACOP,0,2023-04-01 00:00:00
BACOP,0,2023-04-02 00:00:00
BACOP,30875,2023-04-03 00:00:00
BACOP,0,2023-04-09 00:00:00
BACOP,27022,2023-04-10 00:00:00
BACOP,31663,2023-04-11 00:00:00
BACOP,7390,2023-04-12 00:00:00
BACOP,0,2023-04-15 00:00:00
BACOP,0,2023-04-16 00:00:00
BACOP,37382.5,2023-04-17 00:00:00
BACOP,0,2023-04-22 00:00:00
BACOP,0,2023-04-23 00:00:00
BACOP,31202.5,2023-04-24 00:00:00
BACOP,4587,2023-04-28 00:00:00
BACOP,0,2023-04-29 00:00:00
BACOP,0,2023-04-30 00:00:00
BACOP,3811,2023-05-01 00:00:00
BACOP,0,2023-05-06 00:00:00
BACOP,0,2023-05-07 00:00:00
BACOP,0,2023-05-08 00:00:00
BACOP,0,2023-05-13 00:00:00
BACOP,0,2023-05-14 00:00:00
BACOP,1758,2023-05-15 00:00:00
BACOP,0,2023-05-20 00:00:00
BACOP,0,2023-05-21 00:00:00
BACOP,0,2023-05-22 00:00:00
BACOP,0,2023-05-28 00:00:00
BACOP,0,2023-05-29 00:00:00
BACOP,0,2023-06-04 00:00:00
BACOP,0,2023-06-05 00:00:00
BACOP,0,2023-06-11 00:00:00
BACOP,0,2023-06-12 00:00:00
BACOP,0,2023-06-18 00:00:00
BACOP,0,2023-06-19 00:00:00
BIDEN,2273804.8,
BIDEN,37.5,2022-06-10 00:00:00
BIDEN,987,2022-06-18 00:00:00
BIDEN,1370,2022-06-20 00:00:00
BIDEN,0,2022-06-21 00:00:00
BIDEN,0,2022-06-23 00:00:00
BIDEN,2205,2022-06-27 00:00:00
BIDEN,0,2022-07-04 00:00:00
BIDEN,2385,2022-07-14 00:00:00
BIDEN,255,2022-07-15 00:00:00
BIDEN,0,2022-07-27 00:00:00
BIDEN,0,2022-08-01 00:00:00
BIDEN,0,2022-08-02 00:00:00
BIDEN,0,2022-08-06 00:00:00
BIDEN,0,2022-08-19 00:00:00
BIDEN,0,2022-08-22 00:00:00
BIDEN,0,2022-09-04 00:00:00
BIDEN,0,2022-09-05 00:00:00
BIDEN,24396,2022-09-07 00:00:00
BIDEN,0,2022-09-11 00:00:00
BIDEN,0,2022-09-12 00:00:00
BIDEN,0,2022-09-19 00:00:00
BIDEN,0,2022-09-26 00:00:00
BIDEN,0,2022-10-02 00:00:00
BIDEN,0,2022-10-09 00:00:00
BIDEN,0,2022-10-16 00:00:00
BIDEN,0,2022-10-17 00:00:00
BIDEN,0,2022-10-21 00:00:00
BIDEN,0,2022-10-24 00:00:00
BIDEN,0,2022-10-29 00:00:00
BIDEN,0,2022-11-05 00:00:00
BIDEN,0,2022-11-06 00:00:00
BIDEN,0,2022-11-07 00:00:00
BIDEN,0,2022-11-11 00:00:00
BIDEN,0,2022-11-13 00:00:00
BIDEN,0,2022-11-14 00:00:00
BIDEN,0,2022-11-15 00:00:00
BIDEN,0,2022-11-19 00:00:00
BIDEN,0,2022-11-20 00:00:00
BIDEN,0,2022-11-21 00:00:00
BIDEN,0,2022-11-22 00:00:00
BIDEN,0,2022-11-23 00:00:00
BIDEN,0,2022-11-26 00:00:00
BIDEN,0,2022-11-28 00:00:00
BIDEN,0,2022-11-30 00:00:00
BIDEN,0,2022-12-02 00:00:00
BIDEN,0,2022-12-03 00:00:00
BIDEN,0,2022-12-04 00:00:00
BIDEN,1330,2022-12-05 00:00:00
BIDEN,0,2022-12-06 00:00:00
BIDEN,0,2022-12-10 00:00:00
BIDEN,0,2022-12-11 00:00:00
BIDEN,2701,2022-12-12 00:00:00
BIDEN,0,2022-12-13 00:00:00
BIDEN,0,2022-12-16 00:00:00
BIDEN,0,2022-12-17 00:00:00
BIDEN,0,2022-12-18 00:00:00
BIDEN,0,2022-12-19 00:00:00
BIDEN,0,2022-12-20 00:00:00
BIDEN,0,2022-12-21 00:00:00
BIDEN,0,2022-12-24 00:00:00
BIDEN,0,2022-12-25 00:00:00
BIDEN,589,2022-12-26 00:00:00
BIDEN,0,2022-12-27 00:00:00
BIDEN,0,2022-12-31 00:00:00
BIDEN,0,2023-01-01 00:00:00
BIDEN,0,2023-01-02 00:00:00
BIDEN,0,2023-01-03 00:00:00
BIDEN,0,2023-01-04 00:00:00
BIDEN,0,2023-01-05 00:00:00
BIDEN,0,2023-01-06 00:00:00
BIDEN,0,2023-01-07 00:00:00
BIDEN,0,2023-01-08 00:00:00
BIDEN,363,2023-01-09 00:00:00
BIDEN,0,2023-01-13 00:00:00
BIDEN,0,2023-01-14 00:00:00
BIDEN,0,2023-01-15 00:00:00
BIDEN,0,2023-01-16 00:00:00
BIDEN,0,2023-01-17 00:00:00
BIDEN,0,2023-01-20 00:00:00
BIDEN,0,2023-01-21 00:00:00
BIDEN,0,2023-01-22 00:00:00
BIDEN,0,2023-01-23 00:00:00
BIDEN,129,2023-01-24 00:00:00
BIDEN,1572,2023-01-25 00:00:00
BIDEN,0,2023-01-26 00:00:00
BIDEN,982,2023-01-27 00:00:00
BIDEN,0,2023-01-29 00:00:00
BIDEN,17858.5,2023-01-30 00:00:00
BIDEN,8307,2023-01-31 00:00:00
BIDEN,21967,2023-02-01 00:00:00
BIDEN,18054,2023-02-03 00:00:00
BIDEN,0,2023-02-04 00:00:00
BIDEN,0,2023-02-05 00:00:00
BIDEN,100511.5,2023-02-06 00:00:00
BIDEN,18720,2023-02-07 00:00:00
BIDEN,7503,2023-02-08 00:00:00
BIDEN,7003,2023-02-09 00:00:00
BIDEN,7686.5,2023-02-10 00:00:00
BIDEN,0,2023-02-11 00:00:00
BIDEN,0,2023-02-12 00:00:00
BIDEN,69384,2023-02-13 00:00:00
BIDEN,56928,2023-02-15 00:00:00
BIDEN,74,2023-02-16 00:00:00
BIDEN,9263,2023-02-17 00:00:00
BIDEN,0,2023-02-18 00:00:00
BIDEN,0,2023-02-19 00:00:00
BIDEN,55520.5,2023-02-20 00:00:00
BIDEN,34644,2023-02-22 00:00:00
BIDEN,14768.5,2023-02-24 00:00:00
BIDEN,0,2023-02-25 00:00:00
BIDEN,0,2023-02-26 00:00:00
BIDEN,34551.5,2023-02-27 00:00:00
BIDEN,15884,2023-03-01 00:00:00
BIDEN,0,2023-03-02 00:00:00
BIDEN,11483.5,2023-03-03 00:00:00
BIDEN,0,2023-03-04 00:00:00
BIDEN,0,2023-03-05 00:00:00
BIDEN,24213,2023-03-06 00:00:00
BIDEN,0,2023-03-07 00:00:00
BIDEN,30831,2023-03-08 00:00:00
BIDEN,1747,2023-03-10 00:00:00
BIDEN,0,2023-03-11 00:00:00
BIDEN,0,2023-03-12 00:00:00
BIDEN,28159,2023-03-13 00:00:00
BIDEN,0,2023-03-14 00:00:00
BIDEN,1043,2023-03-15 00:00:00
BIDEN,5197,2023-03-17 00:00:00
BIDEN,0,2023-03-18 00:00:00
BIDEN,0,2023-03-19 00:00:00
BIDEN,6401,2023-03-20 00:00:00
BIDEN,1020,2023-03-22 00:00:00
BIDEN,0,2023-03-25 00:00:00
BIDEN,0,2023-03-26 00:00:00
BIDEN,15815,2023-03-27 00:00:00
BIDEN,90,2023-03-29 00:00:00
BIDEN,3773.5,2023-03-31 00:00:00
BIDEN,0,2023-04-01 00:00:00
BIDEN,0,2023-04-02 00:00:00
BIDEN,10939,2023-04-03 00:00:00
BIDEN,0,2023-04-09 00:00:00
BIDEN,0,2023-04-10 00:00:00
BIDEN,15830.5,2023-04-11 00:00:00
BIDEN,0,2023-04-16 00:00:00
BIDEN,1817,2023-04-17 00:00:00
BIDEN,0,2023-04-22 00:00:00
BIDEN,0,2023-04-23 00:00:00
BIDEN,5512,2023-04-24 00:00:00
BIDEN,504,2023-04-27 00:00:00
BIDEN,438,2023-04-28 00:00:00
BIDEN,0,2023-04-29 00:00:00
BIDEN,0,2023-04-30 00:00:00
BIDEN,559,2023-05-01 00:00:00
BIDEN,0,2023-05-06 00:00:00
BIDEN,0,2023-05-07 00:00:00
BIDEN,912,2023-05-08 00:00:00
BIDEN,0,2023-05-13 00:00:00
BIDEN,0,2023-05-14 00:00:00
BIDEN,1127.5,2023-05-15 00:00:00
BIDEN,0,2023-05-20 00:00:00
BIDEN,0,2023-05-21 00:00:00
BIDEN,0,2023-05-22 00:00:00
BIDEN,0,2023-05-28 00:00:00
BIDEN,0,2023-05-29 00:00:00
BIDEN,0,2023-06-04 00:00:00
BIDEN,0,2023-06-11 00:00:00
BIDEN,0,2023-06-12 00:00:00
BIDEN,0,2023-06-18 00:00:00
BIDEN,0,2023-06-19 00:00:00
BOUVA,0,2022-12-27 00:00:00
BOUVA,0,2023-01-21 00:00:00
BOUVA,0,2023-01-23 00:00:00
BOUVA,0,2023-01-28 00:00:00
BOUVA,0,2023-02-04 00:00:00
BOUVA,0,2023-02-11 00:00:00
BRACH,720002.5,
BRACH,0,2022-06-21 00:00:00
BRACH,0,2022-06-23 00:00:00
BRACH,0,2022-07-04 00:00:00
BRACH,904.5,2022-07-14 00:00:00
BRACH,0,2022-07-15 00:00:00
BRACH,0,2022-07-27 00:00:00
BRACH,0,2022-08-01 00:00:00
BRACH,0,2022-08-02 00:00:00
BRACH,0,2022-08-06 00:00:00
BRACH,0,2022-08-22 00:00:00
BRACH,0,2022-08-27 00:00:00
BRACH,0,2022-09-05 00:00:00
BRACH,4851,2022-09-07 00:00:00
BRACH,0,2022-09-12 00:00:00
BRACH,0,2022-09-18 00:00:00
BRACH,0,2022-09-19 00:00:00
BRACH,2295,2022-09-26 00:00:00
BRACH,0,2022-10-02 00:00:00
BRACH,0,2022-10-03 00:00:00
BRACH,0,2022-10-10 00:00:00
BRACH,0,2022-10-17 00:00:00
BRACH,0,2022-10-22 00:00:00
BRACH,0,2022-10-24 00:00:00
BRACH,0,2022-10-29 00:00:00
BRACH,0,2022-10-31 00:00:00
BRACH,0,2022-11-07 00:00:00
BRACH,273,2022-11-14 00:00:00
BRACH,0,2022-11-21 00:00:00
BRACH,0,2022-11-26 00:00:00
BRACH,0,2022-12-03 00:00:00
BRACH,0,2022-12-04 00:00:00
BRACH,0,2022-12-05 00:00:00
BRACH,0,2022-12-10 00:00:00
BRACH,0,2022-12-12 00:00:00
