LocationId,Sum of Quantity Shipped,TimePeriod,GenusId
1,678920.0,2022-07-18 00:00:00,41
1,15390.0,2022-07-18 00:00:00,44
1,30860.0,2022-07-18 00:00:00,47
1,5953.0,2022-07-18 00:00:00,52
1,82831.0,2022-07-22 00:00:00,22
1,0.0,2022-07-23 00:00:00,2
1,0.0,2022-07-23 00:00:00,3
1,0.0,2022-07-23 00:00:00,6
1,0.0,2022-07-23 00:00:00,7
1,0.0,2022-07-23 00:00:00,10
1,0.0,2022-07-23 00:00:00,13
1,0.0,2022-07-23 00:00:00,14
1,0.0,2022-07-23 00:00:00,15
1,0.0,2022-07-23 00:00:00,16
1,0.0,2022-07-23 00:00:00,27
1,0.0,2022-07-23 00:00:00,29
1,0.0,2022-07-23 00:00:00,31
1,0.0,2022-07-23 00:00:00,34
1,0.0,2022-07-23 00:00:00,35
1,0.0,2022-07-23 00:00:00,38
1,0.0,2022-07-23 00:00:00,39
1,0.0,2022-07-23 00:00:00,40
1,0.0,2022-07-23 00:00:00,41
1,0.0,2022-07-23 00:00:00,44
1,0.0,2022-07-23 00:00:00,45
1,0.0,2022-07-23 00:00:00,47
1,0.0,2022-07-23 00:00:00,52
1,1320.0,2022-07-25 00:00:00,2
1,19808.0,2022-07-25 00:00:00,3
1,12515.0,2022-07-25 00:00:00,7
1,57197.0,2022-07-25 00:00:00,13
1,6082.0,2022-07-25 00:00:00,27
1,204.0,2022-07-25 00:00:00,31
1,7803.0,2022-07-25 00:00:00,35
1,70583.0,2022-07-25 00:00:00,38
1,814.0,2022-07-25 00:00:00,39
1,412338.0,2022-07-25 00:00:00,41
1,920.0,2022-07-25 00:00:00,44
1,40925.0,2022-07-25 00:00:00,47
1,2596.5,2022-07-25 00:00:00,52
1,0.0,2022-07-27 00:00:00,4
1,0.0,2022-07-27 00:00:00,5
1,0.0,2022-07-27 00:00:00,13
1,0.0,2022-07-27 00:00:00,22
1,0.0,2022-07-27 00:00:00,27
1,0.0,2022-07-27 00:00:00,35
1,0.0,2022-07-30 00:00:00,3
1,0.0,2022-07-30 00:00:00,6
1,1701.0,2022-07-30 00:00:00,7
1,0.0,2022-07-30 00:00:00,10
1,0.0,2022-07-30 00:00:00,13
1,0.0,2022-07-30 00:00:00,14
1,0.0,2022-07-30 00:00:00,15
1,0.0,2022-07-30 00:00:00,16
1,2826.0,2022-07-30 00:00:00,22
1,0.0,2022-07-30 00:00:00,27
1,0.0,2022-07-30 00:00:00,29
1,572.0,2022-07-30 00:00:00,31
1,0.0,2022-07-30 00:00:00,34
1,4253.0,2022-07-30 00:00:00,35
1,830.0,2022-07-30 00:00:00,38
1,1701.0,2022-07-30 00:00:00,39
1,0.0,2022-07-30 00:00:00,40
1,0.0,2022-07-30 00:00:00,41
1,724.0,2022-07-30 00:00:00,43
1,0.0,2022-07-30 00:00:00,44
1,0.0,2022-07-30 00:00:00,45
1,0.0,2022-07-30 00:00:00,47
1,0.0,2022-07-30 00:00:00,52
1,1841.0,2022-08-01 00:00:00,2
1,84843.0,2022-08-01 00:00:00,3
1,0.0,2022-08-01 00:00:00,4
1,0.0,2022-08-01 00:00:00,5
1,21.0,2022-08-01 00:00:00,6
1,6149.0,2022-08-01 00:00:00,7
1,17125.0,2022-08-01 00:00:00,13
1,0.0,2022-08-01 00:00:00,14
1,0.0,2022-08-01 00:00:00,17
1,0.0,2022-08-01 00:00:00,20
1,0.0,2022-08-01 00:00:00,25
1,2673.0,2022-08-01 00:00:00,27
1,3716.0,2022-08-01 00:00:00,29
1,1560.0,2022-08-01 00:00:00,30
1,15555.0,2022-08-01 00:00:00,31
1,3528.0,2022-08-01 00:00:00,35
1,8040.0,2022-08-01 00:00:00,38
1,13092.0,2022-08-01 00:00:00,39
1,249474.0,2022-08-01 00:00:00,41
1,1474.0,2022-08-01 00:00:00,44
1,0.0,2022-08-01 00:00:00,45
1,16647.0,2022-08-01 00:00:00,47
1,756.0,2022-08-01 00:00:00,52
1,0.0,2022-08-02 00:00:00,4
1,0.0,2022-08-02 00:00:00,5
1,0.0,2022-08-02 00:00:00,7
1,0.0,2022-08-02 00:00:00,35
1,0.0,2022-08-02 00:00:00,38
1,0.0,2022-08-06 00:00:00,2
1,0.0,2022-08-06 00:00:00,3
1,0.0,2022-08-06 00:00:00,4
1,0.0,2022-08-06 00:00:00,5
1,0.0,2022-08-06 00:00:00,7
1,0.0,2022-08-06 00:00:00,10
1,0.0,2022-08-06 00:00:00,13
1,0.0,2022-08-06 00:00:00,14
1,0.0,2022-08-06 00:00:00,15
1,0.0,2022-08-06 00:00:00,16
1,0.0,2022-08-06 00:00:00,27
1,0.0,2022-08-06 00:00:00,28
1,0.0,2022-08-06 00:00:00,29
1,0.0,2022-08-06 00:00:00,30
1,0.0,2022-08-06 00:00:00,31
1,0.0,2022-08-06 00:00:00,34
1,0.0,2022-08-06 00:00:00,35
1,0.0,2022-08-06 00:00:00,38
1,0.0,2022-08-06 00:00:00,39
1,0.0,2022-08-06 00:00:00,40
1,0.0,2022-08-06 00:00:00,41
1,0.0,2022-08-06 00:00:00,44
1,0.0,2022-08-06 00:00:00,45
1,0.0,2022-08-06 00:00:00,47
1,0.0,2022-08-06 00:00:00,52
1,1550.0,2022-08-08 00:00:00,2
1,7368.0,2022-08-08 00:00:00,7
1,54056.0,2022-08-08 00:00:00,13
1,7682.0,2022-08-08 00:00:00,15
1,799.0,2022-08-08 00:00:00,27
1,3500.0,2022-08-08 00:00:00,29
1,4965.0,2022-08-08 00:00:00,30
1,875.0,2022-08-08 00:00:00,31
1,1044.0,2022-08-08 00:00:00,35
1,22334.0,2022-08-08 00:00:00,38
1,12658.0,2022-08-08 00:00:00,39
1,73759.0,2022-08-08 00:00:00,41
1,0.0,2022-08-08 00:00:00,45
1,98839.0,2022-08-08 00:00:00,47
1,5642.0,2022-08-08 00:00:00,52
1,0.0,2022-08-11 00:00:00,35
1,0.0,2022-08-12 00:00:00,13
1,0.0,2022-08-12 00:00:00,27
1,0.0,2022-08-12 00:00:00,30
1,0.0,2022-08-12 00:00:00,47
1,0.0,2022-08-13 00:00:00,2
1,0.0,2022-08-13 00:00:00,6
1,0.0,2022-08-13 00:00:00,7
1,0.0,2022-08-13 00:00:00,10
1,0.0,2022-08-13 00:00:00,13
1,0.0,2022-08-13 00:00:00,29
1,0.0,2022-08-13 00:00:00,31
1,0.0,2022-08-13 00:00:00,35
1,0.0,2022-08-13 00:00:00,39
1,0.0,2022-08-13 00:00:00,40
1,0.0,2022-08-13 00:00:00,41
1,0.0,2022-08-13 00:00:00,44
1,0.0,2022-08-13 00:00:00,45
1,0.0,2022-08-13 00:00:00,47
1,1209.0,2022-08-15 00:00:00,2
1,1458.0,2022-08-15 00:00:00,3
1,1330.0,2022-08-15 00:00:00,7
1,3943.0,2022-08-15 00:00:00,13
1,300.0,2022-08-15 00:00:00,15
1,5724.0,2022-08-15 00:00:00,22
1,690.0,2022-08-15 00:00:00,27
1,66570.0,2022-08-15 00:00:00,31
1,5073.0,2022-08-15 00:00:00,33
1,0.0,2022-08-15 00:00:00,35
1,16735.0,2022-08-15 00:00:00,39
1,85672.0,2022-08-15 00:00:00,41
